PM2_5_AVG,app,PublishTime,fmt_opt,WindSpeed,SO2_AVG,Latitude,O3,NO2,Status,SiteEngName,NO,SiteName,SiteType,CO_8hr,AQI,PM2_5,gps_lat,CO,timestamp,WindDirec,PM10_AVG,Longitude,gps_lon,O3_8hr,NOx,date,device_id,ver_format,PM10,County,ImportDate,SO2,SiteId,time,Pollutant
12,EPA_COPY,2020-09-25 09:00,1,1.6,2,25.046503,42,29,良好,Wanhua,4.8,萬華,一般測站,0.3,44,17,25.046503,0.64,2020-09-25T01:00:00Z,166,20,121.507972,121.507972,48,34,2020-09-25,EPA-Wanhua,3,27,臺北市,2020-09-25 09:09:34.493000,-0.1,13,01:00:00,
10,EPA_COPY,2020-09-25 09:00,1,6.3,1,23.569031,63,4,良好,Magong,0.8,馬公,一般測站,0.2,48,20,23.569031,0.27,2020-09-25T01:00:00Z,30,18,119.566158,119.566158,52,4.8,2020-09-25,EPA-Magong,3,29,澎湖縣,2020-09-25 09:09:34.493000,1.2,78,01:00:00,
14,EPA_COPY,2020-09-25 09:00,1,1,1,25.129167,28,31,良好,Keelung,4.6,基隆,一般測站,0.3,45,20,25.129167,0.55,2020-09-25T01:00:00Z,269,22,121.760056,121.760056,49,35,2020-09-25,EPA-Keelung,3,30,基隆市,2020-09-25 09:09:34.493000,3.2,1,01:00:00,
13,EPA_COPY,2020-09-25 09:00,1,1.4,2,25.067131,41,21,良好,Xizhi,3.1,汐止,一般測站,0.3,48,17,25.065669,0.48,2020-09-25T01:00:00Z,143,5,121.6423,121.6408,52,24,2020-09-25,EPA-Xizhi,3,5,新北市,2020-09-25 09:09:34.493000,2,2,01:00:00,
14,EPA_COPY,2020-09-25 09:00,1,0.8,2,25.037972,51,23,良好,Xinzhuang,4.9,新莊,一般測站,0.4,49,24,25.037972,0.71,2020-09-25T01:00:00Z,206,6,121.4325,121.4325,53,28,2020-09-25,EPA-Xinzhuang,3,,新北市,2020-09-25 09:09:34.493000,2.6,7,01:00:00,
4,EPA_COPY,2020-09-25 09:00,1,3.1,2,23.264722,47,7.1,良好,EPA_310,0.7,臺南(北門),,0.3,33,8,,0.25,2020-09-25T01:00:00Z,19,12,120.124444,,36,7.8,2020-09-25,EPA-臺南(北門),3,17,臺南市,2020-09-25 09:09:34.493000,0.9,310,01:00:00,
9,EPA_COPY,2020-09-25 09:00,1,2,2,23.462778,23,14,良好,Chiayi,3.9,嘉義,一般測站,0.3,29,10,23.462778,0.44,2020-09-25T01:00:00Z,50,17,120.440833,120.440833,23,18,2020-09-25,EPA-Chiayi,3,18,嘉義市,2020-09-25 09:09:34.493000,2.2,42,01:00:00,
20,EPA_COPY,2020-09-25 09:00,1,1.9,3,22.605386,25,26,普通,Qianzhen,11,前鎮,工業測站,0.5,62,29,22.605386,0.85,2020-09-25T01:00:00Z,10,38,120.307564,120.307564,20,37,2020-09-25,EPA-Qianzhen,3,54,高雄市,2020-09-25 09:09:34.493000,3.1,57,01:00:00,細懸浮微粒
9,EPA_COPY,2020-09-25 09:00,1,2,2,23.048197,29,12,良好,Annan,4.4,安南,一般測站,0.3,30,16,23.048333,0.38,2020-09-25T01:00:00Z,359,21,120.2175,120.218333,27,17,2020-09-25,EPA-Annan,3,29,臺南市,2020-09-25 09:09:34.493000,1.2,45,01:00:00,
15,EPA_COPY,2020-09-25 09:00,1,2.3,5,22.689056,18,28,良好,Renwu,22,仁武,一般測站,0.4,50,23,22.689056,0.48,2020-09-25T01:00:00Z,344,5,120.332631,120.332631,16,50,2020-09-25,EPA-Renwu,3,,高雄市,2020-09-25 09:09:34.493000,17,49,01:00:00,
