gps_num,gps_fix,gps_alt,app,SiteName,SiteAddr,s_d0,s_d1,s_h0,area,gps_lat,s_t0,gps_lon,date,device_id,name,time,s_d2,timestamp,c_d0,c_d0_method,hcho,odm,adf_status,fw_ver,s_g1,model
9,1,2,AirBox,74DA38B050C2,N/A,31,34,86,taichuang,24.787,24.62,121.021,2020-09-25,74DA38B050C2,內灣峴,01:18:41,23,2020-09-25T01:18:41Z,12.83,SVR/30/5.38,,,,,,
9,1,2,AirBox,74DA38B050CC,N/A,0,0,100,changhua,23.992,34.25,120.451,2020-09-25,74DA38B050CC,彰化埔鹽_湖仔內,01:18:26,0,2020-09-25T01:18:26Z,0,SVR/30/12.37,,,,,,
9,1,2,AirBox,74DA38B050D0,N/A,3,3,58,tainan,23.015,27.25,120.197,2020-09-25,74DA38B050D0,文成House,01:16:43,2,2020-09-25T01:16:43Z,3,GAM/14/3.39,,,,,,
9,1,2,AirBox,74DA38B050D2,N/A,41,54,100,taoyuan,25.041,22.5,121.389,2020-09-25,74DA38B050D2,A7-名軒飛瑞,01:21:16,29,2020-09-25T01:21:16Z,18.57,GAM/30/7.71,,,,,,
9,1,2,AirBox,74DA38B050DE,N/A,0,0,76,tainan,23.038,24.87,120.237,2020-09-25,74DA38B050DE,台南應用科技大學資管系,01:18:54,0,2020-09-25T01:18:54Z,0,GAM/14/6.84,,,,,,
9,1,2,AirBox,74DA38B050F4,N/A,36,44,78,new_taipei,24.941,25.62,121.37,2020-09-25,74DA38B050F4,新北市三峽區國際一街,01:17:32,26,2020-09-25T01:17:32Z,N/A,N/A,,,,,,
9,1,2,AirBox,74DA38B050F8,N/A,25,29,96,new_taipei,25.283,26.62,121.521,2020-09-25,74DA38B050F8,白沙灣的阿米狗,01:19:56,20,2020-09-25T01:19:56Z,9.05,SVR/14/11.16,,,,,,
9,1,2,AirBox,74DA38B050FE,N/A,4,4,66,kaohsiung,22.649,26,120.282,2020-09-25,74DA38B050FE,INM,01:17:31,2,2020-09-25T01:17:31Z,4,GAM/21/1.88,,,,,,
9,1,2,AirBox,74DA38B05106,N/A,37,48,100,taipei,25.036,23.25,121.62,2020-09-25,74DA38B05106,ParisSpring,01:20:50,26,2020-09-25T01:20:50Z,19.27,SVR/30/11.35,,,,,,
9,1,2,AirBox,74DA38B05108,N/A,15,15,68,taipei,25.098,27.5,121.525,2020-09-25,74DA38B05108,「和式」,01:18:44,11,2020-09-25T01:18:44Z,10.32,SVR/30/5.92,,,,,,
