hcho,gps_num,app,gps_alt,s_d2,odm,s_d0,s_d1,s_h0,SiteName,gps_fix,s_gg,gps_lat,s_t0,timestamp,adf_status,gps_lon,SiteAddr,date,device_id,s_g8,c_d0,fw_ver,s_g1,time,model,c_d0_method,name,area
0,9,AirBox,2,20,acelink.edimax,40,50,100,嘉義縣縣立溪口國中,1,0,23.60394623,27.7,2020-05-23T02:18:39Z,0,120.3939419,嘉義縣溪口鄉坪頂村中正東路103號,2020-05-23,08BEAC0A061E,0,27.87,v1.06,0,02:18:39,AI-1003WN,BRR/30/16.41,,
,9,AirBox,2,10,,19,20,100,高雄市市立興糖國小,1,,22.75,25.25,2020-05-23T02:16:07Z,,120.316,高雄市興糖國小 高雄市橋頭區興糖路19巷1號,2020-05-23,74DA38F20B88,,10.11,,,02:16:07,,LR/30/13.37,興糖國小2,kaohsiung
,9,AirBox,2,18,,25,28,92,74DA38EBF78A,1,,25.052,25.25,2020-05-23T02:12:58Z,,121.451,N/A,2020-05-23,74DA38EBF78A,,14.19,,,02:12:58,,LR/14/4.41,A039,miaoli
,9,AirBox,2,0,,0,0,81,74DA38B0514C,1,,25.002,26.5,2020-05-23T02:13:45Z,,121.555,N/A,2020-05-23,74DA38B0514C,,6.09,,,02:13:45,,BRR/14/6.85,PM2.5_box,taipei
,9,AirBox,2,16,,26,28,100,高雄市市立過埤國小,1,,22.591,26.75,2020-05-23T02:15:53Z,,120.362,高雄市過埤國小 高雄市鳳山區過埤里過埤路176號,2020-05-23,74DA38F20B84,,13.61,,,02:15:53,,LR/30/8.88,高雄市立過埤國小,kaohsiung
,9,AirBox,2,0,,0,0,75,74DA38B0514E,1,,25.018,26.62,2020-05-23T02:15:50Z,,121.304,N/A,2020-05-23,74DA38B0514E,,2.76,,,02:15:50,,BRR/30/2.52,Ian,taoyuan
,9,AirBox,2,8,,14,14,100,高雄市市立溪洲國小,1,,22.847,25.37,2020-05-23T02:12:54Z,,120.465,高雄市溪洲國小 高雄市旗山區旗南二路126號,2020-05-23,74DA38F20B82,,11.8,,,02:12:54,,BRR/30/7.85,高雄市旗山區溪洲國小,kaohsiung
,9,AirBox,2,13,,21,22,100,高雄市市立中崙國小,1,,22.599,24.87,2020-05-23T02:14:48Z,,120.35,高雄市中崙國小 高雄市鳳山區中崙四路25號,2020-05-23,74DA38F20B80,,11.11,,,02:14:48,,LR/30/7.37,高雄市鳳山區中崙國小,kaohsiung
,9,AirBox,2,6,,8,9,100,74DA38AF47E4,1,,24.682,24.5,2020-05-23T02:17:17Z,,120.871,N/A,2020-05-23,74DA38AF47E4,,3.46,,,02:17:17,,LR/14/13.96,AzureSky,miaoli
,9,AirBox,2,0,,0,0,100,陽明-2,1,,25.0513097,20.5,2020-05-23T02:16:33Z,,121.5443192,Yangming,2020-05-23,08BEAC028A6E,,2.91,,,02:16:33,,BRR/14/3.7,手動站：陽明站-2（A6E）,yilan
