hcho,gps_num,app,gps_alt,s_d2,odm,s_d0,s_d1,s_h0,SiteName,gps_fix,s_gg,gps_lat,s_t0,timestamp,adf_status,gps_lon,SiteAddr,date,device_id,s_g8,c_d0,fw_ver,s_g1,time,model,c_d0_method,name,area
0,9,AirBox,2,32,acelink.edimax,56,70,100,雲林縣縣立僑真國小,1,0,23.6676036,28.1,2020-05-24T01:36:17Z,0,120.4744785,雲林縣斗南鎮延平路二段六四二號,2020-05-24,08BEAC0A0270,0,94.08,v1.06,0,01:36:17,AI-1003WN,Theil-Sen/21/8.7,,
0,9,AirBox,2,29,acelink.edimax,50,63,99,嘉義縣縣立大崙國小,1,0,23.44376,28.3,2020-05-24T01:34:41Z,0,120.358493,嘉義縣水上鄉大崙村111號,2020-05-24,08BEAC0A06D8,0,33.47,v1.06,0,01:34:41,AI-1003WN,Theil-Sen/30/8.66,,
0,9,AirBox,2,11,acelink.edimax,20,22,75,臺中市立居仁國中,1,0,24.1372706422,29.6,2020-05-24T01:35:15Z,0,120.678788871,臺中市西區自由路一段97號,2020-05-24,08BEAC0A0274,0,11.84,v1.06,0,01:35:15,AI-1003WN,BRR/30/4.16,,
0,9,AirBox,2,27,acelink.edimax,44,55,97,雲林縣縣立大東國小,1,0,23.6763018,29.6,2020-05-24T01:35:50Z,0,120.4461987,雲林縣斗南鎮新崙里港漧一號,2020-05-24,08BEAC0A0276,0,75.22,v1.06,0,01:35:50,AI-1003WN,Theil-Sen/21/10.81,,
0,9,AirBox,2,31,acelink.edimax,50,62,99,臺南市市立新營區新興國小,1,0,23.2867671,27.8,2020-05-24T01:36:50Z,0,120.2762647,臺南市新營區太南里316號,2020-05-24,08BEAC0A06D4,0,N/A,v1.06,0,01:36:50,AI-1003WN,N/A,,
0,9,AirBox,2,4,acelink.edimax,7,8,82,桃園市市立雙龍國小,1,0,24.8565817972,26.1,2020-05-24T01:38:54Z,0,121.215067729,桃園市龍潭區神龍路346號,2020-05-24,08BEAC0A0278,0,N/A,v1.06,0,01:38:54,AI-1003WN,N/A,,
0,9,AirBox,2,0,acelink.edimax,0,0,100,嘉義縣縣立竹崎高中附設國中,1,0,23.5202646,28.2,2020-05-24T01:35:25Z,0,120.55313,嘉義縣竹崎鄉竹崎村文化路23號,2020-05-24,08BEAC0A06D6,0,1.01,v1.06,0,01:35:25,AI-1003WN,Theil-Sen/30/13.12,,
0,9,AirBox,2,0,acelink.edimax,0,0,100,桃園市市立霞雲國小,1,0,24.81653666,27,2020-05-24T01:38:54Z,0,121.3834933,桃園市復興區霞雲里六鄰14號,2020-05-24,08BEAC0A06D0,0,0.17,v1.06,0,01:38:54,AI-1003WN,BRR/30/21.43,,
0,9,AirBox,2,26,acelink.edimax,48,61,100,臺南市市立德南國小,1,0,22.97778288,28.3,2020-05-24T01:38:05Z,0,120.1866072,臺南市仁德區後壁里中正路二段209號,2020-05-24,08BEAC0A06D2,0,20.64,v1.06,0,01:38:05,AI-1003WN,Theil-Sen/14/1.8,,
,9,AirBox,2,11,,18,21,79,08BEAC028B32,1,,25.06024561,25.75,2020-05-24T01:34:58Z,,121.3698173,N/A,2020-05-24,08BEAC028B32,,12.36,,,01:34:58,,BRR/30/9.77,A08站3月台,new_taipei
0,9,AirBox,2,7,acelink.edimax,13,14,83,臺中市立四維國小,1,0,24.17052666,29.1,2020-05-24T01:35:16Z,0,120.695755,臺中市北屯區文心路四段956號,2020-05-24,08BEAC0A0074,0,6.93,v1.06,0,01:35:16,AI-1003WN,BRR/30/5.92,,
0,9,AirBox,2,7,acelink.edimax,14,16,83,臺中市立坪林國小,1,0,24.14439782,29.5,2020-05-24T01:38:52Z,0,120.6815866,臺中市太平區坪林里坪林路45號,2020-05-24,08BEAC0A0070,0,7.4,v1.06,0,01:38:52,AI-1003WN,BRR/30/4.19,,
,9,AirBox,2,9,,11,13,100,74DA38B0538E,1,,25.143,25.12,2020-05-24T01:34:20Z,,121.734,N/A,2020-05-24,74DA38B0538E,,N/A,,,01:34:20,,N/A,神奇寶貝-流浪頭基地,keelung
,9,AirBox,2,6,,9,10,100,74DA38B0538A,1,,25.041,27.37,2020-05-24T01:31:21Z,,121.556,N/A,2020-05-24,74DA38B0538A,,5.84,,,01:31:21,,BRR/14/4.88,神奇寶貝-達芙妮上面,taipei
0,9,AirBox,2,5,acelink.edimax,10,12,100,桃園市市立林森國小,1,0,24.9452966,26.1,2020-05-24T01:32:11Z,0,121.2266797,桃園市中壢區林森路95號,2020-05-24,08BEAC0A0078,0,N/A,v1.06,0,01:32:11,AI-1003WN,N/A,,
,9,AirBox,2,7,,10,10,70,74DA38ED057C,1,,22.636,28.11,2020-05-24T01:33:45Z,,120.33,N/A,2020-05-24,74DA38ED057C,,12.6,,,01:33:45,,Theil-Sen/30/4.32,IndoorSanmin,kaohsiung
0,9,AirBox,2,14,acelink.edimax,26,29,100,臺南市市立西埔國小,1,0,23.04614931,28.6,2020-05-24T01:36:07Z,0,120.4456755,臺南市南化區西埔里117號,2020-05-24,08BEAC0A061A,0,14.63,v1.06,0,01:36:07,AI-1003WN,Theil-Sen/30/20.06,,
,9,AirBox,2,4,,6,7,67,74DA38F6FEF4,1,,25.035,27.37,2020-05-24T01:36:37Z,,121.553,N/A,2020-05-24,74DA38F6FEF4,,11.1,,,01:36:37,,BRR/14/4.71,EdiGreen,taipei
0,9,AirBox,2,26,acelink.edimax,43,53,100,嘉義縣縣立溪口國中,1,0,23.60394623,29.2,2020-05-24T01:39:49Z,0,120.3939419,嘉義縣溪口鄉坪頂村中正東路103號,2020-05-24,08BEAC0A061E,0,28.34,v1.06,0,01:39:49,AI-1003WN,Theil-Sen/30/16.41,,
,9,AirBox,2,22,,38,47,100,高雄市市立興糖國小,1,,22.75,26.62,2020-05-24T01:34:33Z,,120.316,高雄市興糖國小 高雄市橋頭區興糖路19巷1號,2020-05-24,74DA38F20B88,,18.44,,,01:34:33,,Theil-Sen/30/13.37,興糖國小2,kaohsiung
,9,AirBox,2,6,,9,10,73,74DA38E69BC0,1,,22.674,27.12,2020-05-24T01:32:38Z,,120.308,N/A,2020-05-24,74DA38E69BC0,,11.72,,,01:32:38,,Theil-Sen/30/5.04,DT 室內,kaohsiung
,9,AirBox,2,2,,3,4,80,74DA38B0514C,1,,25.002,26.37,2020-05-24T01:36:59Z,,121.555,N/A,2020-05-24,74DA38B0514C,,6.91,,,01:36:59,,BRR/14/6.85,PM2.5_box,taipei
,9,AirBox,2,21,,36,44,100,高雄市市立過埤國小,1,,22.591,28.5,2020-05-24T01:31:33Z,,120.362,高雄市過埤國小 高雄市鳳山區過埤里過埤路176號,2020-05-24,74DA38F20B84,,16.91,,,01:31:33,,Theil-Sen/30/8.88,高雄市立過埤國小,kaohsiung
,9,AirBox,2,2,,3,3,74,74DA38B0514E,1,,25.018,26.5,2020-05-24T01:35:05Z,,121.304,N/A,2020-05-24,74DA38B0514E,,4.58,,,01:35:05,,BRR/30/2.52,Ian,taoyuan
,9,AirBox,2,8,,12,13,100,高雄市市立溪洲國小,1,,22.847,26.12,2020-05-24T01:33:22Z,,120.465,高雄市溪洲國小 高雄市旗山區旗南二路126號,2020-05-24,74DA38F20B82,,7.72,,,01:33:22,,Theil-Sen/30/7.85,高雄市旗山區溪洲國小,kaohsiung
,9,AirBox,2,24,,42,52,100,高雄市市立中崙國小,1,,22.599,26.75,2020-05-24T01:33:01Z,,120.35,高雄市中崙國小 高雄市鳳山區中崙四路25號,2020-05-24,74DA38F20B80,,20.24,,,01:33:01,,Theil-Sen/30/7.37,高雄市鳳山區中崙國小,kaohsiung
,9,AirBox,2,4,,6,8,100,74DA38AF47E4,1,,24.682,26.12,2020-05-24T01:33:59Z,,120.871,N/A,2020-05-24,74DA38AF47E4,,4.01,,,01:33:59,,BRR/30/13.96,AzureSky,miaoli
,9,AirBox,2,6,,11,12,100,陽明-2,1,,25.0513097,23.37,2020-05-24T01:34:47Z,,121.5443192,Yangming,2020-05-24,08BEAC028A6E,,6.86,,,01:34:47,,BRR/14/3.7,手動站：陽明站-2（A6E）,yilan
,9,AirBox,2,5,,10,11,92,陽明-1,1,,25.051,23.12,2020-05-24T01:35:35Z,,121.544,Yangming,2020-05-24,08BEAC028A6C,,8,,,01:35:35,,BRR/14/3.66,手動站：陽明站-1（A6C）,yilan
,9,AirBox,2,21,,34,40,100,屏東縣縣立泰安國小,1,,22.63,26.5,2020-05-24T01:31:45Z,,120.594,[912]屏東縣內埔鄉老埤村壽比路116號,2020-05-24,74DA38F20A74,,17.68,,,01:31:45,,BRR/30/11.88,屏東縣泰安國小,pingtung
,9,AirBox,2,0,,0,0,77,74DA38B051F4,1,,25.034,27.87,2020-05-24T01:33:03Z,,121.525,N/A,2020-05-24,74DA38B051F4,,6,,,01:33:03,,BRR/14/2.21,James,taipei
0,9,AirBox,2,12,acelink.edimax,20,21,78,桃園市市立同安國小,1,0,25.02174333,28.8,2020-05-24T01:37:54Z,0,121.2991216,桃園市桃園區同德十一街48號,2020-05-24,08BEAC09FFB4,0,13.79,v1.06,0,01:37:54,AI-1003WN,BRR/30/2.98,,
0,9,AirBox,2,35,acelink.edimax,66,76,100,臺南市市立文正國小,1,0,23.18719587,28,2020-05-24T01:37:36Z,0,120.2660892,臺南市麻豆區南勢里86號,2020-05-24,08BEAC0A0472,0,N/A,v1.06,0,01:37:36,AI-1003WN,N/A,,
0,9,AirBox,2,8,acelink.edimax,12,15,76,桃園市市立瑞梅國小,1,0,24.91027731,27.1,2020-05-24T01:35:27Z,0,121.1713391,桃園市楊梅區梅溪里19鄰三民北路26巷41號,2020-05-24,08BEAC0A0470,0,N/A,v1.06,0,01:35:27,AI-1003WN,N/A,,
0,9,AirBox,2,9,acelink.edimax,17,19,90,嘉義縣縣立三江國小,1,0,23.46882076,29.3,2020-05-24T01:37:52Z,0,120.1745889,嘉義縣東石鄉三家村16號,2020-05-24,08BEAC09FFB0,0,10.2,v1.06,0,01:37:52,AI-1003WN,BRR/14/7.47,,
,9,AirBox,2,2,,3,3,91,74DA38AF47B4,1,,24.086,26.75,2020-05-24T01:36:44Z,,120.538,N/A,2020-05-24,74DA38AF47B4,,0,,,01:36:44,,LR/30/2.25,JUAN,changhua
0,9,AirBox,2,21,acelink.edimax,33,35,94,臺中市立光正國小,1,0,24.06093892,29.3,2020-05-24T01:36:43Z,0,120.6675654,臺中市霧峰區北勢里豐正路五六六號,2020-05-24,08BEAC09FFB2,0,14.86,v1.06,0,01:36:43,AI-1003WN,BRR/30/10.47,,
,9,AirBox,2,19,,28,31,89,74DA38AF47B6,1,,22.626,28,2020-05-24T01:30:07Z,,120.265,N/A,2020-05-24,74DA38AF47B6,,16.15,,,01:30:07,,Theil-Sen/30/2.48,社科院室內,kaohsiung
,9,AirBox,2,8,,13,14,94,汐止-2,1,,25.0513022,24.87,2020-05-24T01:36:16Z,,121.5443653,Xizhi,2020-05-24,08BEAC028A66,,9.11,,,01:36:16,,BRR/14/3.7,手動站：汐止站-2（A66）,yilan
,9,AirBox,2,4,,6,7,69,AirBox-NUS-08,1,,1.293,25.75,2020-05-24T01:33:43Z,,103.842,N/A,2020-05-24,08BEAC0286E4,,N/A,,,01:33:43,,N/A,SG_CENTRAL _INDOOR,
,9,AirBox,2,30,,44,63,100,74DA38B051FA,1,,23.598,27.5,2020-05-24T01:34:46Z,,120.458,N/A,2020-05-24,74DA38B051FA,,29.65,,,01:34:46,,Theil-Sen/30/15.14,信義街,chiayi_county
