SiteAddr,SiteName,adf_status,app,area,c_d0,c_d0_method,date,device_id,fw_ver,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,hcho,model,name,odm,s_d0,s_d1,s_d2,s_g1,s_g8,s_gg,s_h0,s_t0,time,timestamp
桃園市楊梅區民安路1號,桃園市市立瑞原國小,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A0588,v1.06,2.0,1.0,24.92634726,121.1042741,9.0,0,AI-1003WN,,acelink.edimax,10.0,11.0,7.0,0.0,0.0,0.0,100.0,30.0,01:34:35,2020-05-24T01:34:35Z
高雄市鎮昌國小 高雄市前鎮區樹人路261號,高雄市市立鎮昌國小,,AirBox,new_taipei,6.73,Theil-Sen/30/5.59,2020-05-24,74DA38F20DE2,,2.0,1.0,22.59,120.317,9.0,,,鎮昌國小,,13.0,14.0,8.0,,,,100.0,27.37,01:36:22,2020-05-24T01:36:22Z
高雄市瑞祥國小 高雄市前鎮區班超路20號,高雄市市立瑞祥國小,,AirBox,kaohsiung,20.41,Theil-Sen/30/6.34,2020-05-24,74DA38F20DE0,,2.0,1.0,22.589,120.328,9.0,,,高市瑞祥國小(2018),,43.0,52.0,26.0,,,,100.0,27.62,01:32:37,2020-05-24T01:32:37Z
高雄市灣內國小 高雄市仁武區仁心路31號,高雄市市立灣內國小,,AirBox,kaohsiung,22.82,Theil-Sen/30/9.03,2020-05-24,74DA38F20DE6,,2.0,1.0,22.683,120.357,9.0,,,灣內國小1071115,,47.0,60.0,29.0,,,,99.0,26.62,01:35:05,2020-05-24T01:35:05Z
高雄市東門國小 高雄市美濃區民族路36巷2號,高雄市市立東門國小,,AirBox,kaohsiung,5.52,Theil-Sen/30/2.87,2020-05-24,74DA38F20DE8,,2.0,1.0,22.899,120.553,9.0,,,高雄市美濃區東門國小01,,8.0,8.0,5.0,,,,100.0,26.37,01:35:15,2020-05-24T01:35:15Z
[613]嘉義縣朴子市雙溪里30號,嘉義縣立雙溪國小,,AirBox,chiayi_county,11.96,BRR/14/3.52,2020-05-24,74DA38E2B54A,,2.0,1.0,23.484,120.277,9.0,,,雙溪國民小學,,24.0,29.0,16.0,,,,100.0,27.37,01:31:32,2020-05-24T01:31:32Z
臺中市北屯區新興路20號,臺中市立新興國小,0,AirBox,,10.3,BRR/30/5.21,2020-05-24,08BEAC0A0450,v1.06,2.0,1.0,24.19464026,120.6623838,9.0,0,AI-1003WN,,acelink.edimax,19.0,20.0,10.0,0.0,0.0,0.0,81.0,29.0,01:39:12,2020-05-24T01:39:12Z
桃園市大溪區仁和二街50號,桃園市市立仁和國小,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A0452,v1.06,2.0,1.0,24.89731537,121.2771801,9.0,0,AI-1003WN,,acelink.edimax,6.0,8.0,4.0,0.0,0.0,0.0,90.0,26.8,01:39:07,2020-05-24T01:39:07Z
N/A,新北市深坑國中,,AirBox,new_taipei,0.0,LR/14/7.75,2020-05-24,74DA38F7C2FA,,2.0,1.0,25.001,121.618,9.0,,,深坑國中,,13.0,14.0,6.0,,,,90.0,24.5,01:33:52,2020-05-24T01:33:52Z
[951]臺東縣綠島鄉公館村98號,台東縣縣立公館國小,,AirBox,taitung,2.26,PA/14/36.28,2020-05-24,74DA38F20AC0,,2.0,1.0,22.674,121.493,9.0,,,綠島公館國小,,1.0,3.0,0.0,,,,93.0,28.86,01:36:25,2020-05-24T01:36:25Z
桃園市大溪區金山路50號,桃園市市立美華國小,0,AirBox,,4.59,BRR/30/12.72,2020-05-24,08BEAC0A0456,v1.06,2.0,1.0,24.88101545,121.3042217,9.0,0,AI-1003WN,,acelink.edimax,6.0,7.0,4.0,0.0,0.0,0.0,90.0,27.1,01:38:24,2020-05-24T01:38:24Z
嘉義縣朴子市大同路239號,嘉義縣縣立大同國小,0,AirBox,,15.48,BRR/14/0.99,2020-05-24,08BEAC0A063A,v1.04,2.0,1.0,23.461271,120.240491,9.0,0,AI-1003WN,,acelink.edimax,29.0,34.0,16.0,0.0,0.0,0.0,91.0,29.1,01:39:47,2020-05-24T01:39:47Z
桃園市楊梅區秀才路919號,桃園市市立楊梅國中秀才分校,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A0458,v1.06,2.0,1.0,24.8838299,121.13401,9.0,0,AI-1003WN,,acelink.edimax,10.0,11.0,6.0,0.0,0.0,0.0,89.0,25.7,01:36:50,2020-05-24T01:36:50Z
桃園市楊梅區水美里楊新路一段410號,桃園市市立水美國小,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A063C,v1.06,2.0,1.0,24.9191608429,121.137031555,9.0,0,AI-1003WN,,acelink.edimax,19.0,20.0,11.0,0.0,0.0,0.0,100.0,26.3,01:39:31,2020-05-24T01:39:31Z
嘉義縣朴子市竹村里36號,嘉義縣縣立竹村國小,0,AirBox,,17.83,BRR/14/3.57,2020-05-24,08BEAC0A063E,v1.06,2.0,1.0,23.43553724,120.2417302,9.0,0,AI-1003WN,,acelink.edimax,35.0,41.0,22.0,0.0,0.0,0.0,100.0,28.6,01:37:54,2020-05-24T01:37:54Z
N/A,74DA38ED051E,,AirBox,taipei,8.85,BRR/14/0.76,2020-05-24,74DA38ED051E,,2.0,1.0,25.044,121.515,9.0,,,台大醫院秘4,,4.0,6.0,3.0,,,,73.0,25.75,01:36:23,2020-05-24T01:36:23Z
N/A,08BEAC0A0524,0,AirBox,,16.26,BRR/30/4.69,2020-05-24,08BEAC0A0524,v1.06,2.0,1.0,24.109845,120.638621,9.0,0,AI-1003WN,,acelink.edimax,31.0,36.0,17.0,0.0,0.0,0.0,81.0,29.2,01:35:18,2020-05-24T01:35:18Z
基隆市,基隆市立建德幼兒園,,AirBox,keelung,N/A,N/A,2020-05-24,74DA38F20ACE,,2.0,1.0,25.121,121.723,9.0,,,基隆市立建德幼兒園,,8.0,8.0,5.0,,,,86.0,25.25,01:36:27,2020-05-24T01:36:27Z
臺南市佳里區仁愛路307號,臺南市市立仁愛國小,0,AirBox,,27.88,Theil-Sen/14/18.91,2020-05-24,08BEAC0A0638,v1.06,2.0,1.0,23.1532594,120.1788639,9.0,0,AI-1003WN,,acelink.edimax,59.0,70.0,39.0,0.0,0.0,0.0,89.0,29.0,01:34:34,2020-05-24T01:34:34Z
臺中市大里區立仁里甲堤路236號,臺中市立立新國中,0,AirBox,,9.75,BRR/30/5.82,2020-05-24,08BEAC0A045C,v1.06,2.0,1.0,24.11134716,120.6772764,9.0,0,AI-1003WN,,acelink.edimax,18.0,18.0,10.0,0.0,0.0,0.0,81.0,29.6,01:39:30,2020-05-24T01:39:30Z
臺南市鹽水區竹林里92-1號,臺南市市立竹埔國小,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A045E,v1.06,2.0,1.0,23.26686007,120.2457468,9.0,0,AI-1003WN,,acelink.edimax,48.0,61.0,29.0,0.0,0.0,0.0,100.0,29.1,01:37:16,2020-05-24T01:37:16Z
N/A,74DA38B0517E,,AirBox,taichuang,11.14,BRR/30/1.41,2020-05-24,74DA38B0517E,,2.0,1.0,24.141,120.648,9.0,,,大英西一街旁 室內,,23.0,27.0,17.0,,,,88.0,27.5,01:32:07,2020-05-24T01:32:07Z
雲林縣口湖鄉台子村台興路一二五號,雲林縣縣立臺興國小,0,AirBox,,6.64,BRR/14/15.12,2020-05-24,08BEAC0A0632,v1.06,2.0,1.0,23.56244444,120.1420962,9.0,0,AI-1003WN,,acelink.edimax,8.0,9.0,4.0,0.0,0.0,0.0,100.0,30.0,01:34:41,2020-05-24T01:34:41Z
桃園市中壢區龍勇路100號,桃園市市立龍興國中,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A0634,v1.06,2.0,1.0,24.93862833,121.235525,9.0,0,AI-1003WN,,acelink.edimax,11.0,13.0,6.0,0.0,0.0,0.0,82.0,26.0,01:39:42,2020-05-24T01:39:42Z
桃園市中壢區龍東路147號,桃園市市立龍岡國中,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A0636,v1.06,2.0,1.0,24.92954666,121.252165,9.0,0,AI-1003WN,,acelink.edimax,10.0,11.0,7.0,0.0,0.0,0.0,89.0,26.7,01:37:03,2020-05-24T01:37:03Z
