PM2_5_AVG,app,PublishTime,fmt_opt,WindSpeed,SO2_AVG,Latitude,O3,NO2,Status,SiteEngName,NO,SiteName,SiteType,CO_8hr,AQI,PM2_5,gps_lat,CO,timestamp,WindDirec,PM10_AVG,Longitude,gps_lon,O3_8hr,NOx,date,device_id,ver_format,PM10,County,SO2,SiteId,time,Pollutant
2,EPA_COPY,2020-05-24 09:00,1,2.5,1,21.958069,40,2.2,▆,Hengchun,0.8,琄,代,0.1,40,2,21.958069,0.08,2020-05-24T01:00:00Z,170,7,120.788928,120.788928,43,3,2020-05-24,EPA-Hengchun,3,10,狥郡,1,61,01:00:00,
11,EPA_COPY,2020-05-24 09:00,1,,,23.757547,,,▆,Lunbei,,盵璉,代,0.4,36,,23.757547,,2020-05-24T01:00:00Z,,26,120.348742,120.348742,17,,2020-05-24,EPA-Lunbei,3,,冻狶郡,,38,01:00:00,
6,EPA_COPY,2020-05-24 09:00,1,1.2,2,25.017,26,12,▆,Yonghe,6.8,ッ㎝,ユ硄代,0.4,26,8,25.017,0.62,2020-05-24T01:00:00Z,75,16,121.516306,121.516306,28,19,2020-05-24,EPA-Yonghe,3,18,穝カ,2,70,01:00:00,
10,EPA_COPY,2020-05-24 09:00,1,,2,25.0632,,26,▆,Datong,19,,ユ硄代,0.7,33,11,25.0632,0.78,2020-05-24T01:00:00Z,,23,121.513311,121.513311,,44,2020-05-24,EPA-Datong,3,23,籓カ,2,16,01:00:00,
17,EPA_COPY,2020-05-24 09:00,1,0.9,1,23.554839,22,8.7,炊硄,Xingang,5.1,穝翠,代,0.4,54,18,23.554839,0.47,2020-05-24T01:00:00Z,18,29,120.345531,120.345531,14,14,2020-05-24,EPA-Xingang,3,25,古竡郡,1.6,39,01:00:00,灿腶疊稬采
13,EPA_COPY,2020-05-24 09:00,1,1.2,2,22.632567,39,9,▆,Qianjin,2.1,玡,代,0.3,43,19,22.632567,0.33,2020-05-24T01:00:00Z,315,31,120.288086,120.288086,30,11,2020-05-24,EPA-Qianjin,3,38,蔼动カ,1.5,56,01:00:00,
6,EPA_COPY,2020-05-24 09:00,1,2.4,0,25.298562,53,1,▆,FugueiCape,0,碔禥à,璉春代,0.1,44,8,25.297436,0.1,2020-05-24T01:00:00Z,50,32,121.536763,121.537975,48,1,2020-05-24,EPA-FugueiCape,3,29,穝カ,-0.1,84,01:00:00,
11,EPA_COPY,2020-05-24 09:00,1,2.5,2,24.952786,45,7.8,▆,Pingzhen,2.4,キ马,代,0.4,37,11,24.954208,0.3,2020-05-24T01:00:00Z,18,24,121.203986,121.204981,29,10,2020-05-24,EPA-Pingzhen,3,18,堕カ,2.3,20,01:00:00,
6,EPA_COPY,2020-05-24 09:00,1,3.9,2,25.060344,43,9.6,▆,Dayuan,3,堕,代,0.2,37,10,25.060344,0.22,2020-05-24T01:00:00Z,36,16,121.201811,121.201811,40,13,2020-05-24,EPA-Dayuan,3,16,堕カ,2.7,18,01:00:00,
8,EPA_COPY,2020-05-24 09:00,1,1.2,2,25.06895,29,12,▆,Cailiao,3.4,垫糳,代,0.4,25,8,25.06895,0.36,2020-05-24T01:00:00Z,130,18,121.481028,121.481028,20,15,2020-05-24,EPA-Cailiao,3,18,穝カ,1.7,8,01:00:00,
5,EPA_COPY,2020-05-24 09:00,1,3.3,3,25.035503,46,5.3,▆,Guanyin,1.2,芠,璉春代,0.2,38,9,25.035503,0.18,2020-05-24T01:00:00Z,63,18,121.082761,121.082761,41,6.5,2020-05-24,EPA-Guanyin,3,17,堕カ,1.9,19,01:00:00,
7,EPA_COPY,2020-05-24 09:00,1,0.9,1,24.256586,35,3.9,▆,Fengyuan,4.9,伦,代,0.3,24,5,24.256586,0.28,2020-05-24T01:00:00Z,159,16,120.741711,120.741711,16,8.8,2020-05-24,EPA-Fengyuan,3,10,籓いカ,1.4,28,01:00:00,
7,EPA_COPY,2020-05-24 09:00,1,0.9,1,25.020608,26,11,▆,Guting,3.2,獸,代,0.2,28,8,25.020608,0.35,2020-05-24T01:00:00Z,62,19,121.529556,121.529556,30,14,2020-05-24,EPA-Guting,3,18,籓カ,0.8,14,01:00:00,
11,EPA_COPY,2020-05-24 09:00,1,,2,25.072611,,,▆,Sanchong,,,ユ硄代,0.8,37,12,25.072611,0.93,2020-05-24T01:00:00Z,,23,121.493806,121.493806,,,2020-05-24,EPA-Sanchong,3,22,穝カ,2.2,67,01:00:00,
5,EPA_COPY,2020-05-24 09:00,1,1.1,1,25.062361,32,,▆,Zhongshan,,い,代,0.3,29,4,25.062361,0.43,2020-05-24T01:00:00Z,118,18,121.526528,121.526528,31,,2020-05-24,EPA-Zhongshan,3,18,籓カ,1.5,12,01:00:00,
6,EPA_COPY,2020-05-24 09:00,1,0.8,2,24.066,19,8.6,▆,Changhua,5,裹て,代,0.4,18,3,24.066,0.41,2020-05-24T01:00:00Z,174,18,120.541519,120.541519,9,14,2020-05-24,EPA-Changhua,3,16,裹て郡,1.2,33,01:00:00,
10,EPA_COPY,2020-05-24 09:00,1,0.4,1,22.673081,30,7.9,▆,Pingtung,1.5,狥,代,0.3,32,16,22.673081,0.36,2020-05-24T01:00:00Z,178,21,120.488033,120.488033,28,9.4,2020-05-24,EPA-Pingtung,3,29,狥郡,2,59,01:00:00,
27,EPA_COPY,2020-05-24 09:00,1,0.4,2,23.115097,29,6.6,炊硄,Shanhua,1.5,到て,代,0.4,79,33,23.115097,0.39,2020-05-24T01:00:00Z,8.8,37,120.297142,120.297142,14,8.1,2020-05-24,EPA-Shanhua,3,49,籓玭カ,1.8,44,01:00:00,灿腶疊稬采
7,EPA_COPY,2020-05-24 09:00,1,1.1,1,25.046503,29,14,▆,Wanhua,5,窾地,代,0.3,29,10,25.046503,0.35,2020-05-24T01:00:00Z,77,19,121.507972,121.507972,31,19,2020-05-24,EPA-Wanhua,3,18,籓カ,1,13,01:00:00,
5,EPA_COPY,2020-05-24 09:00,1,4.3,1,23.569031,49,2.2,▆,Magong,0.4,皑そ,代,0.1,45,6,23.569031,0.15,2020-05-24T01:00:00Z,19,25,119.566158,119.566158,49,2.7,2020-05-24,EPA-Magong,3,25,缄打郡,1.1,78,01:00:00,
29,EPA_COPY,2020-05-24 09:00,1,1.6,5,24.432133,38,13,炊硄,Kinmen,3.2,,代,0.4,83,27,24.432133,0.32,2020-05-24T01:00:00Z,38,68,118.312256,118.312256,20,16,2020-05-24,EPA-Kinmen,3,50,郡,4.6,77,01:00:00,灿腶疊稬采
7,EPA_COPY,2020-05-24 09:00,1,1.1,2,25.129167,46,3.1,▆,Keelung,1.6,膀订,代,0.2,34,8,25.129167,0.16,2020-05-24T01:00:00Z,88,19,121.760056,121.760056,37,4.7,2020-05-24,EPA-Keelung,3,21,膀订カ,1.2,1,01:00:00,
5,EPA_COPY,2020-05-24 09:00,1,1.3,2,25.067131,39,12,▆,Xizhi,1.4,αゎ,代,0.3,30,8,25.065669,0.33,2020-05-24T01:00:00Z,26,18,121.6423,121.6408,32,13,2020-05-24,EPA-Xizhi,3,17,穝カ,1.6,2,01:00:00,
4,EPA_COPY,2020-05-24 09:00,1,1.7,2,22.4795,38,4.1,▆,Linyuan,0.7,狶堕,代,0.2,31,6,22.4795,0.2,2020-05-24T01:00:00Z,188,22,120.41175,120.41175,34,4.8,2020-05-24,EPA-Linyuan,3,25,蔼动カ,1.9,52,01:00:00,
23,EPA_COPY,2020-05-24 09:00,1,1,3,23.462778,24,12,炊硄,Chiayi,2.4,古竡,代,0.5,69,20,23.462778,0.57,2020-05-24T01:00:00Z,77,44,120.440833,120.440833,13,15,2020-05-24,EPA-Chiayi,3,45,古竡カ,4.8,42,01:00:00,灿腶疊稬采
11,EPA_COPY,2020-05-24 09:00,1,0.6,2,22.605386,28,15,▆,Qianzhen,2.9,玡马,穨代,0.4,34,11,22.605386,0.54,2020-05-24T01:00:00Z,12,26,120.307564,120.307564,20,17,2020-05-24,EPA-Qianzhen,3,37,蔼动カ,1.6,57,01:00:00,
27,EPA_COPY,2020-05-24 09:00,1,0.8,2,23.048197,25,8.8,炊硄,Annan,1.4,玭,代,0.4,78,32,23.048333,0.42,2020-05-24T01:00:00Z,303,40,120.2175,120.218333,20,10,2020-05-24,EPA-Annan,3,49,籓玭カ,2.6,45,01:00:00,灿腶疊稬采
13,EPA_COPY,2020-05-24 09:00,1,0.5,2,22.689056,31,11,▆,Renwu,1.7,く猌,代,0.3,42,21,22.689056,0.42,2020-05-24T01:00:00Z,143,29,120.332631,120.332631,26,13,2020-05-24,EPA-Renwu,3,36,蔼动カ,1.8,49,01:00:00,
4,EPA_COPY,2020-05-24 09:00,1,1.3,1,24.977222,32,6.6,▆,Xindian,2.2,穝┍,代,0.3,19,7,24.977222,0.26,2020-05-24T01:00:00Z,30,14,121.537778,121.537778,20,8.8,2020-05-24,EPA-Xindian,3,11,穝カ,1.2,4,01:00:00,
12,EPA_COPY,2020-05-24 09:00,1,1.4,3,24.099611,27,10,▆,Dali,4.1,ń,代,0.5,40,15,24.099611,0.49,2020-05-24T01:00:00Z,227,26,120.677689,120.677689,6,14,2020-05-24,EPA-Dali,3,25,籓いカ,2.9,30,01:00:00,
7,EPA_COPY,2020-05-24 09:00,1,1.3,2,24.740644,29,5.1,▆,Zhudong,2,λ狥,代,0.3,22,6,24.740644,0.26,2020-05-24T01:00:00Z,278,16,121.088903,121.088903,24,7.1,2020-05-24,EPA-Zhudong,3,14,穝λ郡,1.4,23,01:00:00,
6,EPA_COPY,2020-05-24 09:00,1,3.3,3,24.131672,42,3.9,▆,Xianxi,1.6,絬﹁,穨代,0.2,26,3,24.131672,0.2,2020-05-24T01:00:00Z,43,13,120.469061,120.469061,28,5.5,2020-05-24,EPA-Xianxi,3,9,裹て郡,2.2,34,01:00:00,
